# ----------------------------------------,,,,,,,,,
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024041623,237,300,144,47.52666667,0.607594937,4.673333333,0.48,1402
Organic Social,2024041719,208,267,132,32.09737828,0.634615385,4.29588015,0.494382022,1147
Direct,2024041723,188,233,115,39.93991416,0.611702128,4.587982833,0.493562232,1069
Organic Social,2024041718,187,256,125,32.16015625,0.668449198,4.078125,0.48828125,1044
Organic Social,2024041720,175,221,112,46.91855204,0.64,4.529411765,0.50678733,1001
Organic Social,2024041721,160,206,103,59.31553398,0.64375,4.694174757,0.5,967
Organic Social,2024050119,160,219,110,40.31506849,0.6875,4.630136986,0.502283105,1014
Direct,2024041622,158,192,94,39.02083333,0.594936709,4.057291667,0.489583333,779
Organic Social,2024041321,152,178,96,30.48876404,0.631578947,5.056179775,0.539325843,900
Organic Social,2024041516,151,211,93,64.16587678,0.61589404,4.317535545,0.440758294,911
Organic Social,2024050322,151,196,125,13.68367347,0.82781457,4.678571429,0.637755102,917
Organic Social,2024050321,150,188,120,15.4893617,0.8,4.579787234,0.638297872,861
Organic Social,2024042620,146,184,110,32.63043478,0.753424658,4.880434783,0.597826087,898
Organic Social,2024041700,140,191,81,20.91099476,0.578571429,3.842931937,0.42408377,734
Organic Social,2024042621,140,199,82,13.75879397,0.585714286,4.040201005,0.412060302,804
Organic Social,2024041711,139,150,88,45,0.633093525,5.626666667,0.586666667,844
Organic Social,2024041515,136,198,90,43.78787879,0.661764706,4.843434343,0.454545455,959
Organic Social,2024042517,135,176,88,38.6875,0.651851852,4.1875,0.5,737
Organic Social,2024041916,134,179,81,33.19553073,0.604477612,4.094972067,0.452513966,733
Organic Social,2024042616,132,176,93,30.90340909,0.704545455,4.340909091,0.528409091,764
Organic Social,2024041722,131,155,81,39.89677419,0.618320611,4.658064516,0.522580645,722
Organic Social,2024041119,130,150,93,71.06,0.715384615,5.8,0.62,870
Organic Social,2024041322,130,157,69,28.51592357,0.530769231,4.286624204,0.439490446,673
Organic Social,2024041513,130,157,86,44.84076433,0.661538462,4.636942675,0.547770701,728
Organic Social,2024043015,130,171,97,71.24561404,0.746153846,5.573099415,0.567251462,953
Organic Social,2024041717,129,147,89,70.7755102,0.689922481,5.25170068,0.605442177,772
Organic Social,2024050222,129,148,86,29.93243243,0.666666667,4.675675676,0.581081081,692
Direct,2024042923,128,152,70,64.125,0.546875,4.651315789,0.460526316,707
Organic Social,2024042610,128,178,81,36.03370787,0.6328125,4.353932584,0.45505618,775
Organic Social,2024041000,127,200,60,25.07,0.472440945,3.675,0.3,735
Organic Social,2024041712,127,152,88,59.66447368,0.692913386,5.309210526,0.578947368,807
Organic Social,2024042309,124,163,77,29.47852761,0.620967742,4.63803681,0.472392638,756
Organic Social,2024042518,124,154,72,63.5974026,0.580645161,4.75974026,0.467532468,733
Organic Social,2024042619,124,157,86,37.31210191,0.693548387,5.414012739,0.547770701,850
Organic Social,2024040717,123,159,78,35.13836478,0.634146341,4.440251572,0.490566038,706
Organic Social,2024041200,122,178,79,26.18539326,0.647540984,4.185393258,0.443820225,745
Organic Social,2024041323,122,136,66,41.02205882,0.540983607,4.816176471,0.485294118,655
Organic Social,2024042622,122,144,79,27.32638889,0.647540984,4.659722222,0.548611111,671
Organic Social,2024041211,121,150,90,53.08,0.743801653,4.646666667,0.6,697
Organic Social,2024041517,121,158,73,48.48101266,0.603305785,4.246835443,0.462025316,671
Organic Social,2024041221,120,159,80,47.8490566,0.666666667,4.647798742,0.503144654,739
Organic Social,2024050300,120,166,81,39.59036145,0.675,4.662650602,0.487951807,774
Organic Social,2024041400,119,182,76,28.00549451,0.638655462,4.021978022,0.417582418,732
Organic Social,2024042617,119,140,81,47.42142857,0.680672269,5.678571429,0.578571429,795
Organic Social,2024050120,119,145,88,41.94482759,0.739495798,5,0.606896552,725
Organic Social,2024042317,118,145,75,59.2,0.63559322,4.862068966,0.517241379,705
Organic Social,2024050215,118,155,84,67.25806452,0.711864407,5.316129032,0.541935484,824
Organic Social,2024040723,117,139,63,40.5971223,0.538461538,4.712230216,0.45323741,655
Organic Social,2024041519,117,156,87,72.15384615,0.743589744,5.608974359,0.557692308,875
Organic Social,2024041714,117,129,80,54.37209302,0.683760684,4.744186047,0.620155039,612
Organic Social,2024042812,117,141,71,45.4893617,0.606837607,4.85106383,0.503546099,684
Organic Social,2024041708,116,145,69,25.47586207,0.594827586,4.15862069,0.475862069,603
Organic Social,2024041715,116,147,91,51.59183673,0.784482759,5.707482993,0.619047619,839
Organic Social,2024042215,116,152,78,52.51315789,0.672413793,5.111842105,0.513157895,777
Organic Social,2024042522,116,154,78,42.61038961,0.672413793,4.779220779,0.506493506,736
Organic Social,2024042318,115,131,81,88.13740458,0.704347826,5.877862595,0.618320611,770
Organic Social,2024042520,115,144,78,48.00694444,0.67826087,4.715277778,0.541666667,679
Organic Social,2024042521,115,142,75,45.30985915,0.652173913,4.436619718,0.528169014,630
Organic Social,2024041716,114,136,86,52.22794118,0.754385965,4.742647059,0.632352941,645
Organic Social,2024042611,114,141,82,87.73758865,0.719298246,6.042553191,0.581560284,852
Organic Social,2024042912,113,127,71,63.41732283,0.628318584,5.669291339,0.559055118,720
Organic Social,2024042914,113,143,84,47.21678322,0.743362832,5.321678322,0.587412587,761
Organic Social,2024041709,112,134,71,46.05223881,0.633928571,4.791044776,0.529850746,642
Organic Social,2024042516,112,169,74,29.39053254,0.660714286,4.142011834,0.437869822,700
Organic Social,2024050122,112,140,74,44.49285714,0.660714286,4.814285714,0.528571429,674
Organic Social,2024042310,111,135,83,87,0.747747748,4.97037037,0.614814815,671
Organic Social,2024042811,111,172,84,31.5755814,0.756756757,4.029069767,0.488372093,693
Organic Social,2024041820,110,141,82,54.69503546,0.745454545,5.163120567,0.581560284,728
Organic Social,2024050121,110,130,79,43.26923077,0.718181818,4.707692308,0.607692308,612
Organic Social,2024050221,110,126,75,68.51587302,0.681818182,5.547619048,0.595238095,699
Organic Social,2024050316,110,134,68,54.7761194,0.618181818,5.007462687,0.507462687,671
Organic Social,2024042900,109,154,69,29.45454545,0.633027523,4.266233766,0.448051948,657
Organic Social,2024043019,109,146,72,35.2260274,0.660550459,3.938356164,0.493150685,575
Organic Social,2024050223,109,138,73,30.58695652,0.669724771,4.195652174,0.528985507,579
Organic Social,2024040700,108,152,79,17.58552632,0.731481481,4.026315789,0.519736842,612
Organic Social,2024041514,108,140,68,37.56428571,0.62962963,4.178571429,0.485714286,585
Organic Social,2024042918,108,121,80,99.90909091,0.740740741,5.818181818,0.661157025,704
Organic Social,2024043021,108,117,73,47.52991453,0.675925926,5.051282051,0.623931624,591
Organic Social,2024041518,107,143,71,79.48951049,0.663551402,4.321678322,0.496503497,618
Organic Social,2024041713,107,125,69,43.472,0.644859813,4.408,0.552,551
Organic Social,2024042316,107,134,81,70.91044776,0.757009346,5.873134328,0.604477612,787
Organic Social,2024041210,106,130,78,60.88461538,0.735849057,5.046153846,0.6,656
Organic Social,2024041500,106,163,56,34.79754601,0.528301887,4.006134969,0.343558282,653
Organic Social,2024042414,106,121,87,89.12396694,0.820754717,5.884297521,0.719008264,712
Organic Social,2024041209,105,124,72,29,0.685714286,4.5,0.580645161,558
Organic Social,2024041511,105,123,78,52.93495935,0.742857143,5.707317073,0.634146341,702
Organic Social,2024041818,105,138,77,78.06521739,0.733333333,4.833333333,0.557971014,667
Organic Social,2024042217,105,134,77,73.91791045,0.733333333,5.641791045,0.574626866,756
Organic Social,2024042311,105,123,82,65.82113821,0.780952381,5.243902439,0.666666667,645
Organic Social,2024050320,105,132,73,50.54545455,0.695238095,5.136363636,0.553030303,678
Organic Social,2024043020,104,132,78,46.58333333,0.75,5.416666667,0.590909091,715
Organic Social,2024050310,104,116,77,70.80172414,0.740384615,5.956896552,0.663793103,691
Organic Social,2024050317,104,126,69,57.4047619,0.663461538,4.261904762,0.547619048,537
Direct,2024041722,103,132,65,34.46212121,0.631067961,3.977272727,0.492424242,525
Organic Social,2024041900,103,183,62,29.81967213,0.601941748,3.224043716,0.338797814,590
Organic Social,2024041915,103,116,69,60.82758621,0.669902913,4.810344828,0.594827586,558
Organic Social,2024042416,103,130,69,60.22307692,0.669902913,5.384615385,0.530769231,700
Organic Social,2024042800,103,171,53,18.59649123,0.514563107,3.315789474,0.30994152,567
Direct,2024040923,102,118,48,36.5,0.470588235,4.559322034,0.406779661,538
Direct,2024042323,102,129,58,37.35658915,0.568627451,4.07751938,0.449612403,526
Organic Social,2024040814,102,126,73,99.47619048,0.715686275,5.26984127,0.579365079,664
Organic Social,2024042500,102,156,54,18.81410256,0.529411765,3.801282051,0.346153846,593
Organic Social,2024043000,102,166,63,20.04216867,0.617647059,3.885542169,0.379518072,645
Organic Social,2024050118,102,136,75,39.23529412,0.735294118,4.676470588,0.551470588,636
Organic Social,2024050311,102,125,74,37.6,0.725490196,4.608,0.592,576
Organic Social,2024041521,101,125,59,68.224,0.584158416,5.12,0.472,640
Organic Social,2024042218,101,117,72,68.64102564,0.712871287,5.222222222,0.615384615,611
Organic Social,2024042514,101,125,72,38.512,0.712871287,4.656,0.576,582
Organic Social,2024042615,101,128,71,65.984375,0.702970297,5.296875,0.5546875,678
Organic Social,2024040815,100,125,70,58.944,0.7,4.896,0.56,612
Organic Social,2024041819,100,124,78,39.16129032,0.78,4.185483871,0.629032258,519
Organic Social,2024042214,100,122,71,89.30327869,0.71,5.286885246,0.581967213,645
Organic Social,2024042413,100,124,78,57.82258065,0.78,4.629032258,0.629032258,574
Organic Social,2024042519,100,135,60,27.31111111,0.6,4.251851852,0.444444444,574
Organic Social,2024042821,100,118,70,55.96610169,0.7,6.161016949,0.593220339,727
Organic Social,2024043014,100,113,70,56.3539823,0.7,5.097345133,0.619469027,576
Organic Social,2024050214,100,114,76,50.78070175,0.76,4.815789474,0.666666667,549
Organic Social,2024040722,99,116,60,28.12931034,0.606060606,5.051724138,0.517241379,586
Organic Social,2024041212,99,117,67,107.4273504,0.676767677,5.008547009,0.572649573,586
Organic Social,2024041710,99,125,69,27.4,0.696969697,4.248,0.552,531
Organic Social,2024042312,99,122,66,69.2704918,0.666666667,5.5,0.540983607,671
Organic Social,2024042314,99,114,73,72.97368421,0.737373737,6.035087719,0.640350877,688
Organic Social,2024050123,99,127,73,31.29133858,0.737373737,5.322834646,0.57480315,676
